사건번호,사건명,해양사고종류1,해양사고발생(년도),해양사고발생(월),해양사고발생(일),해양사고발생(시),해양사고발생(분),해양사고발생시간대,계절,해양사고장소(위),해양사고장소(위도),해양사고장소(위분),해양사고장소(위초),해양사고장소(경),해양사고장소(경도),해양사고장소(경분),해양사고장소(경초),해양사고발생지역(대),해양사고발생지역(중),해양사고발생지역(통계용),선박명,선박중요도,선박톤수,톤수범위(통계용),선박용도(통계용),사망합계(선원_여객_기타),실종합계(선원_여객_기타),인명피해합계(사망_실종),부상합계(선원_여객_기타),총합(사망_실종_부상)
MP-2021-0052,어선 포인트호 부유물감김사건,부유물감김,2020,12,3,13,5,12-16시,겨울,북,N33,38,36,동,E126,17,13,국내,남해영해,남해영해,포인트호,1,4.45,3~5톤미만,어선,0,0,0,0,0
MP-2021-0051,어선 일진호 기관손상사건,기관손상,2020,12,1,12,13,12-16시,겨울,북,N33,36,0,동,E126,44,0,국내,남해영해,남해영해,일진호,1,3.28,3~5톤미만,어선,0,0,0,0,0
MP-2021-0050,어선 블루마린호 기관손상사건,기관손상,2020,12,29,3,55,0-4시,겨울,북,N33,35,0,동,E126,7,0,국내,남해영해,남해영해,블루마린호,1,3.36,3~5톤미만,어선,0,0,0,0,0
MP-2021-0049,모터보트 용이호 기관손상사건,기관손상,2020,12,10,12,10,12-16시,겨울,북,N33,31,0,동,E126,26,0,국내,남해영해,남해영해,용이호,1,3.21,3~5톤미만,수상레저기구,0,0,0,0,0
MP-2021-0048,어선 친선호 기관손상사건,기관손상,2020,12,26,13,30,12-16시,겨울,북,N33,51,0,동,E126,35,0,국외,남해공해,남해공해,친선호,1,5.29,5~10톤미만,어선,0,0,0,0,0
MP-2021-0047,어선 제66함성호 조타장치손상사건,조타장치손상,2020,12,28,18,22,16-20시,겨울,북,N33,13,30,동,E126,34,58,국내,남해영해,남해영해,제66함성호,1,29,25~30톤미만,어선,0,0,0,0,0
MP-2021-0046,모터보트 유리호 기관손상사건,기관손상,2020,12,28,14,30,12-16시,겨울,북,N33,10,10,동,E126,15,26,국내,남해영해,남해영해,유리호,1,3.32,3~5톤미만,수상레저기구,0,0,0,0,0
MP-2021-0045,어선 선진호 기관손상사건,기관손상,2020,12,18,12,20,12-16시,겨울,북,N33,10,0,동,E126,15,0,국내,남해영해,남해영해,선진호,1,4.98,3~5톤미만,어선,0,0,0,0,0
MP-2021-0044,어선 부영호 운항저해사건,운항저해,2020,12,15,13,21,12-16시,겨울,북,N34,48,52,동,E126,19,46,국내,서해영해,서해영해,부영호,1,2.57,2~3톤미만,어선,0,0,0,0,0
MP-2021-0043,어선 삼성호 기관손상사건,기관손상,2020,12,16,13,30,12-16시,겨울,북,N33,15,24,동,E126,42,19,국내,남해영해,남해영해,삼성호,1,4.29,3~5톤미만,어선,0,0,0,0,0
MP-2021-0042,어선 금영호 기관손상사건,기관손상,2020,12,12,6,39,4-8시,겨울,북,N33,25,0,동,E127,8,0,국내,남해영해,남해영해,금영호,1,9.77,5~10톤미만,어선,0,0,0,0,0
MP-2021-0037,일반화물선 금영레드포스 부두접촉사건,접촉,2020,12,30,3,15,0-4시,겨울,북,N34,46,24,동,E126,23,42,국내,서해영해,서해영해,금영레드포스,1,3565,"1,000~5,000톤미만",화물선,0,0,0,0,0
MP-2021-0007,모터보트 대성아일랜드호 침수사건,침수,2020,12,3,16,40,16-20시,겨울,북,N33,31,35,동,E126,33,57,국내,개항 및 진입수로,"제주항, 서귀포항",대성아일랜드,1,1.23,1~2톤미만,수상레저기구,0,0,0,0,0
MP-2021-0005,모터보트 207신영호 운항저해사건,운항저해,2020,12,30,11,2,8-12시,겨울,북,N33,31,35,동,E126,33,56,국내,개항 및 진입수로,"제주항, 서귀포항",207신영호,1,2.24,2~3톤미만,수상레저기구,0,0,0,0,0
MP-2021-0004,어선 제201청해호 양식장손상사건,시설물손상,2020,12,29,7,2,4-8시,겨울,북,N34,11,4,동,E126,49,18,국내,남해영해,남해영해,제201청해호,1,139,100~500톤미만,어선,0,0,0,0,0
